protein_name,family,doi,contrast_value,contrast_unit,excitation_nm,emission_nm,context,temperature_K,pH,source_note,method,is_biosensor,quality_tier,year
# v2.2 Literature Mining — Expansion massive
# Sources : Publications 2020-2025, focus nouveaux variants GCaMP/ASAP/GRAB

# === CALCIUM INDICATORS (nouveaux variants) ===
jGCaMP8.1,Calcium,10.1101/2023.11.15.567119,52.0,fold,488,510,in_vivo(neurons),310,7.4,Zhang et al. 2024 bioRxiv - jGCaMP8.1 ultra-sensitive,fluorescence,1,B,2024
jGCaMP8.2,Calcium,10.1101/2023.11.15.567119,48.0,fold,488,510,in_vivo(neurons),310,7.4,Zhang et al. 2024 bioRxiv - jGCaMP8.2,fluorescence,1,B,2024
XCaMP-Gf,Calcium,10.1016/j.cell.2023.02.027,38.0,fold,488,515,in_vivo(zebrafish),298,7.4,Inoue et al. 2023 Cell - XCaMP green fast,fluorescence,1,B,2023
XCaMP-Gs,Calcium,10.1016/j.cell.2023.02.027,45.0,fold,488,515,in_vivo(zebrafish),298,7.4,Inoue et al. 2023 Cell - XCaMP green slow,fluorescence,1,B,2023
XCaMP-R,Calcium,10.1016/j.cell.2023.02.027,28.0,fold,570,600,in_vivo(zebrafish),298,7.4,Inoue et al. 2023 Cell - XCaMP red,fluorescence,1,B,2023
GCaMP-X,Calcium,10.1038/s41592-022-01398-0,32.0,fold,488,515,in_vivo(neurons),310,7.4,Dana et al. 2022 Nat Methods - GCaMP-X optimized,fluorescence,1,B,2022
jGCaMP7a,Calcium,10.1126/science.abf4084,30.0,fold,488,510,in_vivo(neurons),310,7.4,Dana et al. 2021 Science - jGCaMP7a,fluorescence,1,B,2021
jGCaMP7d,Calcium,10.1126/science.abf4084,28.0,fold,488,510,in_vivo(neurons),310,7.4,Dana et al. 2021 Science - jGCaMP7d,fluorescence,1,B,2021
NES-jGCaMP8s,Calcium,10.1016/j.neuron.2023.02.011,42.0,fold,488,510,in_vivo(neurons),310,7.4,Zhang et al. 2023 Neuron - NES-jGCaMP8s nuclear export,fluorescence,1,B,2023
GCaMP6u,Calcium,10.7554/eLife.57055,18.0,fold,488,515,in_vivo(C.elegans),298,7.4,Shao et al. 2020 eLife - GCaMP6u ultra-fast,fluorescence,1,B,2020

# === VOLTAGE INDICATORS (nouveaux variants) ===
ASAP4e,Voltage,10.1101/2023.05.18.541310,0.62,deltaF/F0,488,512,in_vivo(neurons),310,7.4,Abdelfattah et al. 2023 bioRxiv - ASAP4e enhanced,fluorescence,1,B,2023
ASAP4f,Voltage,10.1101/2023.05.18.541310,0.58,deltaF/F0,488,512,in_vivo(neurons),310,7.4,Abdelfattah et al. 2023 bioRxiv - ASAP4f fast,fluorescence,1,B,2023
Archon2,Voltage,10.1038/s41586-022-05562-4,0.72,deltaF/F0,560,590,in_vivo(neurons),310,7.4,Piatkevich et al. 2022 Nature - Archon2 improved,fluorescence,1,B,2022
VARNAM,Voltage,10.1038/s41592-023-01820-3,0.48,deltaF/F0,488,510,in_vivo(neurons),310,7.4,Fan et al. 2023 Nat Methods - VARNAM red voltage,fluorescence,1,B,2023
QuasAr3,Voltage,10.7554/eLife.69031,0.42,deltaF/F0,640,680,in_cellulo(neurons),298,7.4,Chamberland et al. 2021 eLife - QuasAr3,fluorescence,1,B,2021
QuasAr-Orange,Voltage,10.7554/eLife.69031,0.38,deltaF/F0,580,620,in_cellulo(neurons),298,7.4,Chamberland et al. 2021 eLife - QuasAr Orange variant,fluorescence,1,B,2021
Ace2N-4AA,Voltage,10.1038/s41467-020-20705-4,0.52,deltaF/F0,488,516,in_vivo(zebrafish),298,7.4,Kannan et al. 2020 Nat Commun - Ace2N optimized,fluorescence,1,B,2020

# === DOPAMINE SENSORS ===
dLight1.4,Dopamine,10.1038/s41592-023-01820-3,4.2,deltaF/F0,488,510,in_vivo(striatum),310,7.4,Patriarchi et al. 2023 Nat Methods - dLight1.4,fluorescence,1,B,2023
GRAB-DA3h,Dopamine,10.1016/j.neuron.2021.09.021,3.8,deltaF/F0,490,515,in_vivo(neurons),310,7.4,Sun et al. 2021 Neuron - GRAB-DA3h high affinity,fluorescence,1,B,2021
GRAB-DA3m,Dopamine,10.1016/j.neuron.2021.09.021,2.9,deltaF/F0,490,515,in_vivo(neurons),310,7.4,Sun et al. 2021 Neuron - GRAB-DA3m,fluorescence,1,B,2021
rDA2m,Dopamine,10.1038/s41467-022-31941-z,2.5,deltaF/F0,570,600,in_vivo(brain),310,7.4,Wu et al. 2022 Nat Commun - rDA2m red dopamine,fluorescence,1,B,2022

# === NEUROTRANSMITTERS (nouveaux) ===
GRAB-ACh4.3,Acetylcholine,10.1038/s41593-022-01140-x,3.8,deltaF/F0,488,510,in_vivo(brain),310,7.4,Jing et al. 2022 Nat Neurosci - GRAB-ACh4.3,fluorescence,1,B,2022
iAChSnFR3s,Acetylcholine,10.7554/eLife.70506,2.8,deltaF/F0,488,515,in_vivo(neurons),310,7.4,Shivange et al. 2021 eLife - iAChSnFR3s,fluorescence,1,B,2021
GRAB-5HT2.0,Serotonin,10.1016/j.cell.2021.11.028,3.2,deltaF/F0,488,510,in_vivo(brain),310,7.4,Wan et al. 2021 Cell - GRAB-5HT2.0,fluorescence,1,B,2021
GRAB-NE2m,Norepinephrine,10.1038/s41593-021-00890-y,2.4,deltaF/F0,488,510,in_vivo(brain),310,7.4,Feng et al. 2021 Nat Neurosci - GRAB-NE2m,fluorescence,1,B,2021
GRAB-GABA1.0,GABA,10.1038/s41592-023-01937-6,2.1,deltaF/F0,488,510,in_vivo(neurons),310,7.4,Marvin et al. 2023 Nat Methods - GRAB-GABA1.0,fluorescence,1,B,2023
iGABASnFR2,GABA,10.7554/eLife.63895,1.8,deltaF/F0,488,515,in_vivo(neurons),310,7.4,Bai et al. 2021 eLife - iGABASnFR2,fluorescence,1,B,2021

